Sample	Heading_date(days)|Hainan|2010	Plant_height(cm)|Hainan|2010	Peduncle_length(cm)|Hainan|2010	Panicle_length_per_main_stem(mm)|Hainan|2010	Bristle_length(mm)|Hainan|2010	Diameter_of_main_stem(cm)|Hainan|2010	Panicle_diameter(mm)|Hainan|2010	Stem_node_number|Hainan|2010	Tiller_number|Hainan|2010	Branch_number_per_plant|Hainan|2010	Number_of_total_panicles_per_plant|Hainan|2010	Leaf_sheath_color|Hainan|2010	Leaf_pulvinus_color|Hainan|2010	Bristle_color|Hainan|2010	Weight_per_panicle(g)|Hainan|2010	Grain_weight(g)|Hainan|2010	Panicle_shape|Hainan|2010
WGS0660	44	86.7	25.7	19.5	4	6.12	15.32	6	0	0	1	4	2	3	6.9	4.8	NA
WGS0661	47	89	24.7	13.3	1	6.16	19.52	9	2	0	3	3	2	2	7.09	5.49	NA
WGS0662	54	102	20.3	13.7	1	6.28	17.26	9	1	0	2	2	2	3	8.85	7.22	NA
WGS0663	48	98	24.7	14.8	1	6.53	14.42	8	0	0	1	4	3	2	6.56	5.3	NA
WGS0664	44	88	29	14.2	1	5.41	20.18	8	0	0	1	2	2	3	6.6	5.01	NA
WGS0665	46	97.7	30	16	3	5.7	17.78	8	0	0	1	2	2	3	7.99	5.72	NA
WGS0666	49	105	26.3	13.5	1	6.37	16.88	9	1	0	2	4	3	3	5.81	4.4	NA
WGS0667	45	74.7	25.3	15.5	2	5.53	16.58	7	2	0	3	2	2	2	9.6	7.79	NA
WGS0668	45	82.3	22.7	11	1	5.95	18.88	7	2	0	3	4	3	2	6.11	4.67	NA
WGS0669	46	89.3	27	16.2	2	6.83	18.12	8	1	0	2	2	2	2	7.45	5.12	NA
WGS0670	47	100.7	28.7	16.2	1	6.52	17.14	8	1	0	2	4	3	3	7.11	5.74	NA
WGS0671	48	97.3	26.3	13.7	1	5.55	16.54	8	1	0	2	2	2	3	6.97	5.57	NA
WGS0672	46	86.7	19.3	11.3	3	5.32	21.94	8	2	0	3	2	2	2	6.83	5.37	NA
WGS0673	47	78.7	21	15.2	3	5.9	12.14	7	1	0	2	4	3	3	5.57	4.46	NA
WGS0674	41	89.7	27	19.8	1	5.17	14.4	7	1	0	2	2	2	3	5.7	4.48	NA
WGS0675	46	88.7	26	9.7	1	6.22	21.58	8	0	0	1	4	3	3	6.99	5.46	NA
WGS0676	50	96.7	27	9.2	1	6.65	21.64	10	2	0	3	2	2	2	6.15	4.49	NA
WGS0677	47	85.3	20.3	10.3	3	5.3	18.44	9	1	0	2	2	2	3	5.62	3.99	NA
WGS0678	53	104	21	16.8	6	5.95	18.36	10	0	0	1	2	2	2	11.42	9.15	NA
WGS0679	46	91	24.3	12.8	4	5.52	17.16	8	3	0	4	2	2	3	8	6.13	NA
WGS0680	47	82.3	27.3	12.2	4	5.46	16.18	9	0	0	1	2	2	3	5.03	3.57	NA
WGS0681	49	102	24.7	11.8	1	5.72	18.54	9	0	0	1	4	3	3	4.94	3.67	NA
WGS0682	54	107.7	25.8	18	1	7.13	23.34	9	0	0	1	4	3	3	9.3	6.49	NA
WGS0683	50	100.7	17.3	16.2	3	6.84	25.9	8	3	0	4	4	3	3	12.13	8.3	NA
WGS0684	49	111	24.7	17.8	1	6.27	18.02	8	1	0	2	4	3	3	9.06	7.28	NA
WGS0685	50	105.7	24	15.3	1	6.18	20.08	9	1	0	2	2	2	2	5.59	4.35	NA
WGS0686	43	89	31.7	13.7	4	5.73	19.04	6	1	0	2	2	2	3	8.63	6.66	NA
WGS0687	43	90.3	22.3	16.3	5	5.31	15.34	7	0	0	1	2	3	3	5.41	4.18	NA
WGS0688	39	81	27	13.2	1	6.14	17.78	7	0	0	1	4	3	3	4.19	1.79	NA
WGS0689	38	86	30	12	1	5.71	11.58	5	2	0	3	2	2	3	2.94	2.27	NA
WGS0690	42	86.7	28	16.8	4	6.9	18.5	7	1	0	2	2	2	3	5.83	3.79	NA
WGS0691	41	102	24.5	16.5	3	6.35	22.5	9	1	0	2	2	2	3	7.96	4.83	NA
WGS0692	36	83.3	29.7	16	2	5.13	14.32	5	1	0	2	4	3	3	1.85	0.75	NA
WGS0693	36	76.3	29.7	13.5	2	4.81	15.86	5	0	0	2	3	3	3	2.45	0.67	NA
WGS0694	34	71	26.3	10.3	1	5.15	18.6	5	0	0	1	4	3	3	3.74	2.32	NA
WGS0695	36	62	18.7	13	3	5.52	15.26	6	2	0	3	3	3	3	4.35	2.99	NA
WGS0696	44	91.7	29.3	12.7	1	6.31	16.88	7	1	0	2	2	2	2	7.92	6.32	NA
